TourAttraction,Big_col,Samll_col,Address,Local,Alien,Foreign,Total,Latitude,Longitude,category
무등산 광주화강암 (무등산권 국가지질공원),자연관광지,산,광주광역시 > 동구,"157,255","188,157",283,"188,440",35.134134,126.9887555,자연
수암골 벽화마을,체험관광지,이색거리,충청북도 > 청주시 청원구,"154,354","187,842",565,"188,406",36.6458072,127.4955101,인문
태종대 전망대,건축/조형물,기념탑/기념비/전망대,부산광역시 > 영도구,"43,432","167,045","21,342","188,387",35.050432,129.0884,인문
잔아문학박물관,문화시설,박물관,경기도 > 양평군,"84,140","187,460",834,"188,294",37.5964957,127.3529688,인문
삼귀해안,자연관광지,해안절경,경상남도 > 창원시 성산구,"95,358","186,781","1,013","187,794",35.164083,128.600133,자연
명성황후 기념관,문화시설,기념관,경기도 > 여주시,"288,456","186,326",679,"187,005",37.260511,127.655564,인문
주말농장 한식마을,체험관광지,이색거리,경기도 > 화성시,"144,172","185,952",885,"186,837",37.200538,126.98428,인문
옥녀봉(거제),자연관광지,산,경상남도 > 거제시,"576,300","185,570","1,191","186,761",34.8508207,128.7036597,자연
김포 문수산성,역사관광지,성,경기도 > 김포시,"93,930","186,067",634,"186,701",37.742083,126.5309238,인문
양평군립미술관,문화시설,미술관/화랑,경기도 > 양평군,"378,949","185,973",503,"186,476",37.4970621,127.4839677,인문
아현동 전골목,체험관광지,이색거리,서울특별시 > 마포구,"199,630","182,770","3,621","186,391",37.5447971,126.9538455,인문
치악산자연휴양림,자연관광지,자연휴양림,강원도 > 원주시,"11,067","185,448",258,"185,706",37.2559097,128.031252,자연
양헌수승전비,역사관광지,유적지/사적지,인천광역시 > 강화군,"104,867","183,439","2,143","185,582",37.6328243,126.4867124,인문
전등사(강화),역사관광지,사찰,인천광역시 > 강화군,"104,867","183,439","2,143","185,582",37.6317933,126.4845478,인문
삼랑성(정족산성),역사관광지,성,인천광역시 > 강화군,"104,867","183,439","2,143","185,582",37.6326291,126.487099,인문
종해루,역사관광지,문,인천광역시 > 강화군,"104,867","183,439","2,143","185,582",37.631733,126.483649,인문
댕이골 전통음식거리,체험관광지,이색거리,경기도 > 안산시 상록구,"225,134","183,712","1,724","185,435",37.2945884,126.8422759,인문
김포문화원,문화시설,문화원,경기도 > 김포시,"550,631","184,576",649,"185,225",37.6169684,126.7178824,인문
